GEOID,tot_pop,median_inc,unemp,pov,EP_age_65,diveristy_idx,hou_burd,vote_share,crime_rate
020177,178567,52088,0.05960235378031384,0.13522495247482927,0.1602591744275258,0.39396150194483437,3.6893614025205947e-4,0.44991114765403284,0.020916518729664494
020179,2522,50822,0.013986013986013986,0.059079061685490875,0.22997620935765264,0.057705985896670864,0.014161598609904432,0.09243085880640466,0.022204599524187154
020181,6038,47036,0.03674540682414698,0.16191155492154066,0.1916197416363034,0.22568957384944488,0.008273894436519259,0.13284839203675344,0.03577343491222259
020183,3701,43913,0.03556034482758621,0.12779740871613662,0.26830586328019457,-0.01801589951261584,0.011012956419316842,0.1454456415279138,0.02053499054309646
020185,4284,46830,0.035161744022503515,0.13050847457627118,0.20471521942110177,0.23634895134524403,0.008361581920903955,0.16033755274261605,0.013071895424836602
020187,2115,44567,0.01064773735581189,0.09135802469135802,0.17635933806146573,0.47279647234377875,0.022716049382716052,0.18053375196232338,0.010874704491725768
020189,5738,54333,0.03702318623784592,0.17643979057591622,0.12600209132101778,0.47174131935944397,0.010157068062827226,0.11634056054997356,0.02108748692924364
020191,23509,50950,0.059584580179545855,0.13896517631550037,0.1722319111829512,0.15285346781707987,0.002460727232780402,0.21353630940135773,0.023182610914968736
020193,7909,52074,0.019410977242302542,0.14444788122486854,0.1567834113035782,0.1326500307798527,0.006155273739560779,0.13227069351230425,0.035276267543305095
020195,2927,54630,0.013994169096209912,0.043478260869565216,0.2418858899897506,0.01681550924447972,0.012143928035982009,0.13360323886639677,0.05261359754014349
020197,6960,57791,0.04660414890593919,0.07055781307720724,0.17772988505747125,0.09916553127890093,0.006206132249722941,0.22958579881656804,0.021695402298850575
020199,1584,45804,0.06625,0.131175468483816,0.20707070707070707,0.06397864376084095,0.02674616695059625,0.05764411027568922,0.005050505050505051
020201,5613,47045,0.02914951989026063,0.11235489220563848,0.23588099055763406,0.05113203235889907,0.005140961857379767,0.1399638336347197,0.014074469980402637
020203,2168,57596,0.025830258302583026,0.10250297973778308,0.1974169741697417,0.4267392362576762,0.010727056019070322,0.14644351464435146,0.023062730627306273
020205,8956,43594,0.05681562991241859,0.15858690046415677,0.20366234926306387,0.10094574816765833,0.006188757091284168,0.16541353383458646,0.022108083966056274
020207,3186,35321,0.057107386716325266,0.20512820512820512,0.22379158819836786,0.07534503392707192,0.01452991452991453,0.1891891891891892,0.025423728813559324
020209,161777,40757,0.09332565014781781,0.21465454483891175,0.11205548378323248,0.6784459821926969,5.823894899012985e-4,0.617986511141633,0.027673896783844427
021001,19156,33873,0.05797270500408259,0.24249228178501264,0.1672583002714554,0.09577943659691002,0.0031855178220600616,0.1606947649702417,0.037168511171434535
021003,20421,41166,0.07120879120879121,0.19402985074626866,0.15861123353410705,0.06189813864314542,0.002569759896171317,0.16662549407114624,0.04945889035796484
021005,21867,53513,0.07354506742370476,0.13058218377367314,0.14176613161384735,0.08828487900979443,0.002642038812251578,0.23060759936963754,0.041935336351580005
021007,8216,43923,0.05331491712707182,0.14883148831488316,0.1930379746835443,0.08828422988274709,0.006150061500615006,0.19897585954645208,0.023369036027263874
021009,43287,39034,0.07593371258966114,0.2055946558511273,0.167255758079793,0.14443703086553894,0.0016044375521889539,0.2312310688013847,0.05837780395961836
021011,12113,34986,0.09583249446345883,0.2595505617977528,0.15892016841410056,0.06333983732494408,0.00651685393258427,0.29670808807499455,0.013208949062990177
021013,27676,22603,0.10611764705882352,0.3635452723629076,0.17278508454979044,0.07381977120463645,0.0027327382036800877,0.17699115044247787,0.08418846654140771
021015,125656,69165,0.05312323640359996,0.08420775920611623,0.11125612784108996,0.197178194637053,5.213695809327696e-4,0.2607865597556319,0.052015025148023177
021017,20004,44232,0.07691524042379788,0.16722615939326121,0.17431513697260548,0.2339701001011555,0.003145592440631605,0.3170510053390889,0.04854029194161168
021019,48716,44140,0.08509162951956414,0.1991127617868565,0.17838081944330406,0.09430544137638808,0.001248323532446095,0.29436784980932823,0.04394860004926513
021021,29650,40758,0.05570372628210013,0.1741407829443117,0.1763912310286678,0.21908362486456645,0.0023984561661459292,0.3306812915186158,0.05099494097807757
021023,8404,35887,0.0880651945320715,0.2048651817116061,0.1544502617801047,0.020574901324158068,0.0073270808909730355,0.19988658916926566,0.015230842455973346
021025,13476,25484,0.12043561819346572,0.347473604826546,0.1528643514395963,0.03203846623849649,0.003902714932126697,0.2678633670268386,0.025452656574651233
